Regenerative Action,🔮 Circles Subdomain,🔮 Circles Domain,🔮 Circles Topic,Mandala Pathway,Liberate Action,Oppress Action,Success Indicators,Circulation Check
15-Minute Community Power Commons,built-form-and-transport,🌱 Ecology,🚅 Proximity and Access,Liberation,"<p>Establish a “15-Minute Community Power Commons” where all residents co-manage the distribution of essentials (food, care, work) within a walkable radius—ensuring power over access is shared, not concentrated in commercial hubs.</p>","<p>Concentrate essential services in distant, car-dependent zones that exclude those without vehicles, reinforcing dependence on extractive mobility systems.</p>",<p>• 95% of residents live within 15 minutes of essentials • High usage of local services across demographics • Reduction in vehicle miles traveled</p>,"<p>Yes — Power over “proximity” is a shared commons, not a commodity to be extracted.</p>"
Accountable Aid & Remittances System,exchange-and-transfer,📉 Economics,💱 Aid and Remittances,Liberation,"<p>Create an “Accountable Aid &amp; Remittances System” where all incoming resources (e.g., from diaspora, grants) are governed by community-defined priorities and tracked through a public ledger, ensuring aid flows to collective needs, not individual accumulation.</p>","<p>Channel aid and remittances through opaque, top-down systems that create dependency, reward compliance, and allow elites to capture resources while the vulnerable remain in need.</p>",<p>• 100% of aid/remittances publicly tracked and aligned with community priorities• High satisfaction with aid outcomes• Reduction in aid-induced dependency or inequality</p>,"<p>Yes — Aid is a trust, not a gift. Power to “receive support” is structured to circulate benefits, not hoard them.</p>"
Accountable Dissent Infrastructure,communication-and-critique,☀️ Politics,📰 Dissent and Protest,Liberation,"<p>Build “Accountable Dissent Infrastructure”—protected channels for dissent (e.g., anonymous reporting, safe protest zones, redress systems) that are integrated into governance, ensuring dissent leads to systemic learning and change, not suppression.</p>","<p>Criminalize, surveil, and pathologize dissent as “disruption” or “extremism,” using legal and social tools to silence critics and maintain the illusion of consensus.</p>",<p>• High rate of dissent leading to policy or practice changes • Low rates of retaliation against dissenters • Strong community trust in redress mechanisms</p>,"<p>Yes — Dissent is a vital feedback loop not a threat. Power to challenge is protected and integrated into the system’s evolution.""</p>"
Accountable Future Visioning Protocol,meaning-and-narrative,✴️ Spirituality,🌀 Hope and Future Visioning,Awakening,<p>Create an “Accountable Future Visioning Protocol” that holds the community responsible for turning hopeful visions into action—ensuring accountability through regular review and adaptation.</p>,"<p>Promote dystopian or techno-utopian futures that disempower collective agency, framing hope as either naive or dependent on elite saviors.</p>",<p>• High participation in future visioning activities • Integration of visions into community planning • Reduction in hopelessness and future anxiety</p>,"<p>Yes — Accountability ensures hope serves the whole community, not just dominant narratives.</p>"
Accountable Hope & Imagination Protocol,memory-and-projection,🪢 Culture,👻 Imagination and Hope,Awakening,"<p>Create an “Accountable Hope &amp; Imagination Protocol” where future visions are co-created through structured, inclusive processes (e.g., “100-Year Visioning Circles”)—ensuring hope is grounded in collective accountability, not individual fantasy.</p>","<p>Promote dystopian or techno-utopian futures that disempower collective agency, framing hope as either naive or dependent on elite saviors.</p>",<p>• High participation in future visioning activities • Integration of visions into community planning • Reduction in hopelessness and future anxiety</p>,"<p>Yes — Accountability ensures imagination serves the whole community, not just dominant narratives.</p>"
Accountable Invocation Protocol,practice-and-discipline,✴️ Spirituality,🤺 Prayer and Invocation,Healing,"<p>Create an “Accountable Invocation Protocol” that holds space for diverse forms of prayer—ensuring accountability to consent, cultural safety, and non-coercion in group settings.</p>","<p>Enforce mandatory prayer or silence that privileges one tradition, punishes non-participation, or uses invocation as a tool of conformity rather than connection.</p>",<p>• High voluntary participation in shared invocation • Clear consent protocols for group prayer • Reduction in spiritual coercion or shame</p>,"<p>Yes — Accountability ensures prayer serves connection, not control.</p>"
Accountable Pathway Stewardship Ledger,built-form-and-transport,🌱 Ecology,🚅 Non-motorized Transport and Walking Paths,Liberation,"<p>Maintain a public “Accountable Pathway Stewardship Ledger” that tracks the creation, maintenance, and accessibility of all walking and cycling paths—with clear protocols for community enforcement and redress if authority fails to act.</p>","<p>Grant permanent authority to car-centric planners who neglect or remove non-motorized infrastructure, treating walking and cycling as secondary or recreational, not essential.</p>","<p>• 100% of neighborhoods connected by safe, accessible paths • High usage across ages and abilities • Steady increase in active transportation rates</p>","<p>Yes — Accountability ensures pathways serve human dignity, not just convenience.</p>"
Accountable Play & Sport Council,creativity-and-recreation,🪢 Culture,🍄 Sport and Play,Healing,"<p>Create an “Accountable Play &amp; Sport Council” that ensures all games and sports are co-designed to be non-competitive, inclusive, and healing—holding organizers accountable to community-defined standards of joy and safety.</p>","<p>Promote hyper-competitive, exclusionary sports that reinforce hierarchies of ability, gender, and class, while framing play as a zero-sum contest rather than a shared joy.</p>","<p>• High participation in non-competitive, cooperative play• Low rates of injury• Strong community trust in play spaces</p>","<p>Yes — Accountability ensures play serves connection, not domination.</p>"
Accountable Resonance Stewardship Ledger,community-and-ceremony,✴️ Spirituality,🎑 Collective Chanting,Healing,"<p>Maintain a public “Accountable Resonance Stewardship Ledger” that tracks communal sound practices (chants, songs, silence)—ensuring accountability to inclusivity, consent, and emotional safety.</p>","<p>Enforce uniform chanting that silences dissonance, punishes non-participation, and uses sound as a tool of conformity rather than connection.</p>",<p>• High voluntary participation in sound practices • Clear consent protocols for group resonance • Reduction in sound-based coercion or shame</p>,"<p>Yes — Accountability ensures sound serves connection, not control.</p>"
Accountable Spontaneity Protocol,transcendence-and-wonder,✴️ Spirituality,✨ Play and Spontaneity,Awakening,"<p>Create an “Accountable Spontaneity Protocol” that holds space for unstructured joy and creativity—ensuring accountability to consent, safety, and ecological limits without killing the spark.</p>","<p>Enforce rigid schedules and productivity metrics that pathologize play as “wasteful,” extracting spontaneity for profit while silencing free expression.</p>",<p>• High voluntary participation in unstructured play • Clear consent protocols for group joy • Reduction in play-based shame or coercion</p>,"<p>Yes — Accountability ensures play serves connection, not control.</p>"
Air Quality Accountability Ledger,water-and-air,🌱 Ecology,🌊 Air Quality and Respiration,Liberation,"<p>Maintain a public “Air Quality Accountability Ledger” that tracks pollution sources in real-time, with clear protocols for community enforcement and redress if authority fails to act.</p>","<p>Grant industrial emitters permanent authority to pollute through permits and loopholes, while obscuring data and excluding communities from oversight.</p>",<p>• Real-time public dashboard of air quality by neighborhood • High trust in enforcement mechanisms • Steady decline in respiratory illness rates</p>,<p>Yes — Authority is transparent and accountable. Power to breathe clean air is a universal right.</p>
Belonging Equity Dashboard,identity-and-engagement,🪢 Culture,😜 Belonging and Community,Healing,"<p>Launch a “Belonging Equity Dashboard” that tracks who feels seen, heard, and valued in community spaces—and actively removes barriers (e.g., language, timing, cultural norms) to ensure all identities can co-create belonging.</p>","<p>Design community structures that favor dominant identities (e.g., through unspoken norms, inaccessible language), while claiming “open membership,” effectively engineering belonging through exclusion.</p>",<p>• 95%+ sense of belonging across all identity groups • High participation in cross-identity initiatives • Reduction in reported microaggressions and isolation</p>,"<p>Yes — Power to “belong” is guaranteed through design, not granted as a privilege.</p>"
Biodiversity Sovereignty Commons,flora-and-fauna,🌱 Ecology,🦖 Biodiversity and Ecosystem Diversity,Liberation,"<p>Establish a “Biodiversity Sovereignty Commons” where all community members share stewardship of species diversity—ensuring power over biodiversity is distributed, not concentrated in conservation NGOs or state agencies.</p>","<p>Concentrate control of biodiversity in top-down conservation that excludes local knowledge, treats species as data points, and displaces communities in the name of “protection.”</p>",<p>• 100% of local species monitored by community stewards • High participation in species inventory and protection • Steady increase in native biodiversity</p>,"<p>Yes — Power over biodiversity is a shared commons, not a commodity to be managed.</p>"
